Date	Temperature	Humidity
(2021, 10, 27, 2, 17, 33, 43, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 33, 49, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 33, 54, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 33, 59, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 34, 4, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 34, 9, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 34, 14, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 34, 19, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 34, 24, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 34, 29, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 34, 34, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 34, 39, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 34, 44, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 34, 50, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 34, 55, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 35, 0, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 35, 5, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 35, 10, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 35, 15, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 35, 20, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 35, 25, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 35, 30, 0)	22.6	44.0%
(2021, 10, 27, 2, 17, 35, 35, 0)	22.6	44.0%
(2021, 10, 27, 2, 17, 35, 40, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 35, 45, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 35, 50, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 35, 56, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 36, 1, 0)	22.6	43.0%
(2021, 10, 27, 2, 17, 36, 6, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 36, 11, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 36, 16, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 36, 21, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 36, 26, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 36, 31, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 36, 36, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 36, 41, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 36, 46, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 36, 51, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 36, 57, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 37, 2, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 37, 7, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 37, 12, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 37, 17, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 37, 22, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 37, 27, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 37, 32, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 37, 37, 0)	22.6	44.0%
(2021, 10, 27, 2, 17, 37, 42, 0)	22.5	44.0%
(2021, 10, 27, 2, 17, 37, 47, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 37, 52, 0)	22.6	43.0%
(2021, 10, 27, 2, 17, 37, 58, 0)	22.4	44.0%
(2021, 10, 27, 2, 17, 38, 3, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 38, 8, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 38, 13, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 38, 18, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 38, 23, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 38, 28, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 38, 33, 0)	22.6	43.0%
(2021, 10, 27, 2, 17, 38, 38, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 38, 43, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 38, 48, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 38, 53, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 38, 58, 0)	22.6	43.0%
(2021, 10, 27, 2, 17, 39, 4, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 39, 9, 0)	22.6	43.0%
(2021, 10, 27, 2, 17, 39, 14, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 39, 19, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 39, 24, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 39, 29, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 39, 34, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 39, 39, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 39, 44, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 39, 49, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 39, 54, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 39, 59, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 40, 5, 0)	22.6	43.0%
(2021, 10, 27, 2, 17, 40, 10, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 40, 15, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 40, 20, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 40, 25, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 40, 30, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 40, 35, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 40, 40, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 40, 45, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 40, 50, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 40, 55, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 41, 0, 0)	22.5	43.0%
(2021, 10, 27, 2, 17, 41, 5, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 41, 11, 0)	22.3	43.0%
(2021, 10, 27, 2, 17, 41, 16, 0)	22.4	43.0%
(2021, 10, 27, 2, 17, 41, 21, 0)	22.3	43.0%
(2021, 10, 27, 2, 17, 41, 26, 0)	22.3	43.0%
(2021, 10, 27, 2, 17, 41, 31, 0)	22.3	43.0%
(2021, 10, 27, 2, 17, 41, 36, 0)	22.3	43.0%
(2021, 10, 27, 2, 17, 41, 41, 0)	22.3	43.0%
(2021, 10, 27, 2, 17, 41, 46, 0)	22.3	43.0%
(2021, 10, 27, 2, 17, 41, 51, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 41, 56, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 1, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 6, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 12, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 17, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 22, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 27, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 32, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 37, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 42, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 47, 0)	22.3	44.0%
(2021, 10, 27, 2, 17, 42, 52, 0)	22.2	44.0%
(2021, 10, 27, 2, 17, 42, 57, 0)	22.2	44.0%
(2021, 10, 27, 2, 17, 43, 2, 0)	22.2	44.0%
(2021, 10, 27, 2, 17, 43, 7, 0)	22.2	44.0%
(2021, 10, 27, 2, 17, 43, 13, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 43, 18, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 43, 23, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 43, 28, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 43, 33, 0)	22.2	44.0%
(2021, 10, 27, 2, 17, 43, 38, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 43, 43, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 43, 48, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 43, 53, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 43, 58, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 3, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 8, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 13, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 19, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 24, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 29, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 34, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 39, 0)	22.1	44.0%
(2021, 10, 27, 2, 17, 44, 44, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 44, 49, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 44, 54, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 44, 59, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 45, 4, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 45, 9, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 45, 14, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 45, 20, 0)	22.0	45.0%
(2021, 10, 27, 2, 17, 45, 25, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 45, 30, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 45, 35, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 45, 40, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 45, 45, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 45, 50, 0)	22.0	45.0%
(2021, 10, 27, 2, 17, 45, 55, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 0, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 5, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 10, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 15, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 20, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 26, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 31, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 36, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 41, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 46, 46, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 46, 51, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 46, 56, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 47, 1, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 47, 6, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 47, 11, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 47, 16, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 47, 21, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 47, 27, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 47, 32, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 47, 37, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 47, 42, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 47, 47, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 47, 52, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 47, 57, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 2, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 7, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 12, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 17, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 22, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 48, 28, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 33, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 38, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 43, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 48, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 53, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 48, 58, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 3, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 8, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 13, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 18, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 23, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 28, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 34, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 39, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 44, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 49, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 54, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 49, 59, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 4, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 9, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 14, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 19, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 24, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 29, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 35, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 40, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 45, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 50, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 50, 55, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 0, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 5, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 10, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 15, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 20, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 51, 25, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 30, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 36, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 41, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 51, 46, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 51, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 51, 56, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 52, 1, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 52, 6, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 52, 11, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 52, 16, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 52, 21, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 52, 26, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 52, 31, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 52, 36, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 52, 42, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 52, 47, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 52, 52, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 52, 57, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 2, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 7, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 12, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 17, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 22, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 27, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 53, 32, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 37, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 43, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 48, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 53, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 53, 58, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 3, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 8, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 13, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 18, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 23, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 28, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 33, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 54, 38, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 43, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 54, 49, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 54, 54, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 54, 59, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 55, 4, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 55, 9, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 55, 14, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 55, 19, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 55, 24, 0)	21.8	43.0%
(2021, 10, 27, 2, 17, 55, 29, 0)	21.8	43.0%
(2021, 10, 27, 2, 17, 55, 34, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 55, 39, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 55, 44, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 55, 50, 0)	21.8	43.0%
(2021, 10, 27, 2, 17, 55, 55, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 56, 0, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 56, 5, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 56, 10, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 56, 15, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 56, 20, 0)	21.9	44.0%
(2021, 10, 27, 2, 17, 56, 25, 0)	21.8	43.0%
(2021, 10, 27, 2, 17, 56, 30, 0)	21.8	43.0%
(2021, 10, 27, 2, 17, 56, 35, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 56, 40, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 56, 45, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 56, 51, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 56, 56, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 1, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 6, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 11, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 57, 16, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 21, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 26, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 31, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 36, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 41, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 46, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 51, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 57, 57, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 58, 2, 0)	22.0	44.0%
(2021, 10, 27, 2, 17, 58, 7, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 58, 12, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 58, 17, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 58, 22, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 58, 27, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 58, 32, 0)	21.9	43.0%
(2021, 10, 27, 2, 17, 58, 37, 0)	21.8	43.0%
(2021, 10, 27, 2, 17, 58, 42, 0)	21.8	43.0%
(2021, 10, 27, 2, 17, 58, 47, 0)	21.8	43.0%
(2021, 10, 27, 2, 17, 58, 52, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 58, 58, 0)	21.8	44.0%
(2021, 10, 27, 2, 17, 59, 3, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 59, 8, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 59, 13, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 59, 18, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 59, 23, 0)	21.7	44.0%
(2021, 10, 27, 2, 17, 59, 28, 0)	21.6	44.0%
(2021, 10, 27, 2, 17, 59, 33, 0)	21.6	44.0%
(2021, 10, 27, 2, 17, 59, 38, 0)	21.6	44.0%
(2021, 10, 27, 2, 17, 59, 43, 0)	21.6	44.0%
(2021, 10, 27, 2, 17, 59, 48, 0)	21.6	44.0%
(2021, 10, 27, 2, 17, 59, 53, 0)	21.6	44.0%
(2021, 10, 27, 2, 17, 59, 58, 0)	21.5	44.0%
(2021, 10, 27, 2, 18, 0, 4, 0)	21.6	44.0%
(2021, 10, 27, 2, 18, 0, 9, 0)	21.6	44.0%
(2021, 10, 27, 2, 18, 0, 14, 0)	21.5	44.0%
(2021, 10, 27, 2, 18, 0, 19, 0)	21.6	44.0%
(2021, 10, 27, 2, 18, 0, 24, 0)	21.6	44.0%
(2021, 10, 27, 2, 18, 0, 29, 0)	21.5	44.0%
(2021, 10, 27, 2, 18, 0, 34, 0)	21.5	44.0%
(2021, 10, 27, 2, 18, 0, 39, 0)	21.4	44.0%
(2021, 10, 27, 2, 18, 0, 44, 0)	21.5	44.0%
(2021, 10, 27, 2, 18, 0, 49, 0)	21.4	44.0%
(2021, 10, 27, 2, 18, 0, 54, 0)	21.6	45.0%
(2021, 10, 27, 2, 18, 0, 59, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 1, 5, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 1, 10, 0)	21.5	44.0%
(2021, 10, 27, 2, 18, 1, 15, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 1, 20, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 1, 25, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 1, 30, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 1, 35, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 1, 40, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 1, 45, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 1, 50, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 1, 55, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 2, 0, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 2, 6, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 2, 11, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 2, 16, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 2, 21, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 2, 26, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 2, 31, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 2, 36, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 2, 41, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 2, 46, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 2, 51, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 2, 56, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 3, 1, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 3, 6, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 3, 12, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 3, 17, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 3, 22, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 3, 27, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 3, 32, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 3, 37, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 3, 42, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 3, 47, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 3, 52, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 3, 57, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 4, 2, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 4, 7, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 4, 13, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 4, 18, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 4, 23, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 4, 28, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 4, 33, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 4, 38, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 4, 43, 0)	21.3	45.0%
